timestamp,temperature_c,pressure_hpa,air_voltage,light_level,noise_db,noise_dbfs,noise_percent
19-01-2026 14:02,13.19,988.32,2.88,53.86,68.2,what do you want what do you do what you today,Multiple Students Talking
19-01-2026 14:02,13.22,988.33,2.791,45.87,66.6,fifty fifty one,Multiple Students Talking
19-01-2026 14:02,13.24,988.32,2.77,48.83,68.7,fifty seven fifty eight,Multiple Students Talking
19-01-2026 14:03,13.24,988.31,2.724,50.04,67.3,sixty four fifty five,Multiple Students Talking
19-01-2026 14:03,13.25,988.32,2.748,53.26,64.5,i am,Multiple Students Talking
19-01-2026 14:03,13.25,988.31,2.735,53.3,61.6,i mean,Multiple Students Talking
19-01-2026 14:03,13.26,988.31,2.756,49.55,68.4,before thirty five twenty six or eight,Multiple Students Talking
19-01-2026 14:04,13.28,988.31,2.712,52.92,67.6,you said anyone,Multiple Students Talking
19-01-2026 14:04,13.29,988.3,2.699,48.71,41.8,,Class is Silent
19-01-2026 14:04,13.29,988.31,2.687,47.16,35.3,,Class is Silent
19-01-2026 14:04,13.3,988.3,2.679,49.85,53.8,,Uncertain Condition
19-01-2026 14:05,13.31,988.29,2.672,50.15,47.8,,Uncertain Condition
19-01-2026 14:05,13.31,988.27,2.667,55.23,53.2,,Uncertain Condition
19-01-2026 14:05,13.33,988.28,2.644,52.61,51.6,,Uncertain Condition
19-01-2026 14:05,13.34,988.3,2.62,49.36,23,,Class is Silent
19-01-2026 14:06,13.34,988.29,2.622,50.61,37.4,,Class is Silent
19-01-2026 14:06,13.34,988.29,2.63,54.85,37.5,,Class is Silent
19-01-2026 14:06,13.35,988.29,2.603,53.07,32.5,,Class is Silent
19-01-2026 14:06,13.35,988.28,2.552,49.92,43.7,,Class is Silent
19-01-2026 14:07,13.36,988.28,2.551,49.13,32.1,,Class is Silent
19-01-2026 14:07,13.36,988.26,2.576,50.8,41.8,,Class is Silent
19-01-2026 14:07,13.36,988.26,2.427,48.22,45.2,,Uncertain Condition
19-01-2026 14:07,13.36,988.27,2.433,52.27,33.2,,Class is Silent
19-01-2026 14:08,13.37,988.24,2.452,52.69,35.4,,Class is Silent
19-01-2026 14:08,13.37,988.26,2.466,52.77,27.8,,Class is Silent
19-01-2026 14:08,13.38,988.25,2.468,51.93,54.7,subject because i think,Normal Teaching
19-01-2026 14:08,13.4,988.25,2.466,48.71,52.2,good,Normal Teaching
19-01-2026 14:09,13.4,988.25,2.457,53.71,52.6,was,Normal Teaching
19-01-2026 14:09,13.41,988.23,2.451,52.42,55.6,what is robert,Multiple Students Talking
19-01-2026 14:09,13.42,988.24,2.442,52.95,53.7,might say you want,Normal Teaching
19-01-2026 14:10,13.44,988.23,2.434,48.52,60.9,a specific optical to dump his lot,Multiple Students Talking
19-01-2026 14:10,13.47,988.19,2.442,52.16,58.6,then they have,Multiple Students Talking
19-01-2026 14:10,13.49,988.18,2.344,48.71,63.5,you are you be as what do you,Multiple Students Talking
19-01-2026 14:11,13.5,988.2,2.297,47.99,60.2,at they still have leadership are getting a have i see like,Multiple Students Talking
19-01-2026 14:11,13.51,988.21,2.268,51.14,59.5,then you will is,Multiple Students Talking
19-01-2026 14:12,13.51,988.2,2.28,51.63,51.4,doing this but because of the,Normal Teaching
19-01-2026 14:12,13.52,988.18,2.278,50.83,57.9,your unit among my just because you're to you,Multiple Students Talking
19-01-2026 14:12,13.54,988.16,2.256,49.24,61.4,in to see,Multiple Students Talking
19-01-2026 14:13,13.59,988.17,2.238,52.95,62.9,what are our design techniques that you were used to create,Multiple Students Talking
19-01-2026 14:13,13.6,988.18,2.233,48.48,62.1,so in the partners were focusing on,Multiple Students Talking
19-01-2026 14:13,13.61,988.16,2.236,51.86,58.3,the longest,Multiple Students Talking
19-01-2026 14:14,13.62,988.16,2.221,54.2,24.3,,Class is Silent
19-01-2026 14:14,13.61,988.15,2.257,51.25,47.5,,Uncertain Condition
19-01-2026 14:14,13.61,988.16,2.217,51.55,54.5,see you forget his name,Normal Teaching
19-01-2026 14:15,13.61,988.15,2.198,51.63,60.1,you know the let this go through a,Multiple Students Talking
19-01-2026 14:15,13.61,988.15,2.226,54.77,50.6,,Uncertain Condition
19-01-2026 14:15,13.62,988.14,2.247,51.29,63.7,कुछ,Multiple Students Talking
19-01-2026 14:15,13.66,988.14,2.262,52.12,61.2,the monk,Multiple Students Talking
19-01-2026 14:16,13.67,988.15,2.263,50.08,34.3,,Class is Silent
19-01-2026 14:16,13.67,988.15,2.242,49.39,60,okay can i want is it,Multiple Students Talking
19-01-2026 14:16,13.69,988.13,2.236,52.35,62.1,then need is i guess he says,Multiple Students Talking
19-01-2026 14:17,13.7,988.1,2.226,51.14,24.2,,Class is Silent
19-01-2026 14:17,13.69,988.11,2.213,54.39,61.1,people,Multiple Students Talking
19-01-2026 14:17,13.68,988.11,2.21,52.69,47.5,,Uncertain Condition
19-01-2026 14:18,13.7,988.12,2.218,54.24,58.8,that type of software consider different type of as,Multiple Students Talking
19-01-2026 14:18,13.72,988.12,2.203,53.48,60.5,okay bet,Multiple Students Talking
