timestamp,temperature_c,pressure_hpa,air_voltage,light_level,noise_db,noise_dbfs,noise_percent
07-01-2026 08:51,14.89,996.36,1.919,47.69,31,,Class is Silent
07-01-2026 08:51,14.89,996.37,1.913,48.41,34,,Class is Silent
07-01-2026 08:51,14.97,996.37,1.91,13.33,54,,Uncertain Condition
07-01-2026 08:51,15.05,996.36,1.904,50.87,44,,Class is Silent
07-01-2026 08:52,15.01,996.37,1.89,47.84,27.9,,Class is Silent
07-01-2026 08:52,14.98,996.37,1.893,55.27,47.5,,Uncertain Condition
07-01-2026 08:52,14.97,996.4,1.875,47.39,52.1,,Uncertain Condition
07-01-2026 08:52,14.97,996.38,1.87,53.94,32.7,,Class is Silent
07-01-2026 08:53,14.97,996.39,1.86,54.58,45.6,,Uncertain Condition
07-01-2026 08:53,14.97,996.38,1.859,56.4,31.7,,Class is Silent
07-01-2026 08:53,14.96,996.39,1.85,52.69,46.6,,Uncertain Condition
07-01-2026 08:53,14.96,996.4,1.849,51.29,51.3,,Uncertain Condition
07-01-2026 08:53,14.98,996.42,1.84,50.04,53.7,,Uncertain Condition
07-01-2026 08:54,14.96,996.41,1.836,58.26,57.4,,Outside Noise / Construction
07-01-2026 08:54,14.96,996.41,1.833,58.3,34.1,,Class is Silent
07-01-2026 08:54,14.97,996.42,1.82,58.3,25.4,,Class is Silent
07-01-2026 08:54,14.95,996.41,1.817,54.02,27.6,,Class is Silent
07-01-2026 08:55,14.95,996.42,1.81,53.98,28.5,,Class is Silent
07-01-2026 08:55,14.95,996.43,1.805,58.83,38.3,,Class is Silent
07-01-2026 08:55,14.96,996.43,1.798,53.14,25.8,,Class is Silent
07-01-2026 08:55,14.97,996.45,1.795,50.27,30,,Class is Silent
07-01-2026 08:55,14.98,996.45,1.785,57.35,34.1,,Class is Silent
07-01-2026 08:56,14.98,996.45,1.78,55.83,33.5,,Class is Silent
07-01-2026 08:56,14.97,996.46,1.774,49.51,29.7,,Class is Silent
07-01-2026 08:56,14.97,996.46,1.768,57.58,21.7,,Class is Silent
07-01-2026 08:56,14.96,996.46,1.762,52.31,24.6,,Class is Silent
07-01-2026 08:57,14.96,996.47,1.761,48.6,56.6,,Outside Noise / Construction
07-01-2026 08:57,14.96,996.48,1.759,49.55,47.1,,Uncertain Condition
07-01-2026 08:57,14.98,996.48,1.76,52.95,48.2,,Uncertain Condition
07-01-2026 08:57,14.98,996.5,1.752,48.86,25.5,,Class is Silent
07-01-2026 08:57,14.99,996.5,1.754,52.39,28.8,,Class is Silent
07-01-2026 08:58,15,996.5,1.758,56.7,54.3,,Uncertain Condition
07-01-2026 08:58,14.99,996.49,1.756,52.99,52.1,,Uncertain Condition
07-01-2026 08:58,14.99,996.52,1.751,55.23,67.8,,Outside Noise / Construction
07-01-2026 08:58,14.99,996.53,1.748,50.15,35.6,,Class is Silent
07-01-2026 08:59,14.99,996.52,1.734,51.55,38.2,,Class is Silent
07-01-2026 08:59,14.99,996.53,1.742,56.52,37.4,,Class is Silent
07-01-2026 08:59,14.99,996.52,1.739,50.34,56.2,,Outside Noise / Construction
07-01-2026 08:59,14.99,996.52,1.741,57.84,26.8,,Class is Silent
07-01-2026 09:00,14.99,996.54,1.742,57.2,22.3,,Class is Silent
07-01-2026 09:00,14.99,996.54,1.743,58.03,51.9,,Uncertain Condition
